mV	mV	mV	mV	mV	°C	bar	%*bar	Zeit	Datum
0,296131	0,802317	1,10048	1,05377	0,556037	24,353	0,016107	1,37464	17:53:47	30.10.2023
0,293861	0,80377	1,1004	1,05189	0,556246	24,4062	0,0160593	1,35318	17:54:47	30.10.2023
0,295258	0,803872	1,09769	1,05025	0,556651	24,4648	0,017067	1,35911	17:55:47	30.10.2023
0,29563	0,802346	1,09962	1,04979	0,555529	24,3501	0,0165146	1,38114	17:56:47	30.10.2023
0,295859	0,80238	1,09862	1,04718	0,555018	24,3889	0,0166642	1,38856	17:57:47	30.10.2023
0,292497	0,802526	1,09575	1,04633	0,555277	24,4077	0,0161328	1,35746	17:58:47	30.10.2023
0,29271	0,80535	1,09348	1,04539	0,554677	24,3815	0,0162816	1,38626	17:59:47	30.10.2023
0,293563	0,805096	1,09356	1,04241	0,55522	24,3844	0,015979	1,25405	18:00:47	30.10.2023
0,29553	0,806829	1,09619	1,04277	0,555869	24,4166	0,0159605	1,24886	18:01:47	30.10.2023
0,295501	0,801375	1,09568	1,03987	0,554727	24,3504	0,0171791	1,22795	18:02:47	30.10.2023
0,29278	0,80154	1,09726	1,03841	0,554502	24,4578	0,0158095	1,22906	18:03:47	30.10.2023
0,294218	0,804205	1,09518	1,03689	0,554951	24,4125	0,0161658	1,11456	18:04:47	30.10.2023
0,293305	0,799188	1,0946	1,035	0,554632	24,3677	0,0174032	1,26132	18:05:47	30.10.2023
0,293421	0,800612	1,09526	1,03412	0,555691	24,358	0,0161612	1,26088	18:06:47	30.10.2023
0,293765	0,803359	1,09364	1,03137	0,555444	24,3828	0,016389	1,14615	18:07:47	30.10.2023
0,296327	0,800339	1,09513	1,02993	0,555805	24,4339	0,0165312	1,10491	18:08:47	30.10.2023
0,294024	0,799468	1,09559	1,02934	0,555216	24,4208	0,0169273	1,13569	18:09:47	30.10.2023
0,293762	0,800438	1,09579	1,02821	0,555017	24,4126	0,0170062	1,99483	18:10:47	30.10.2023
0,293442	0,803472	1,09759	1,02705	0,555203	24,3773	0,0161537	2,27557	18:11:47	30.10.2023
0,293732	0,801458	1,09855	1,0248	0,555245	24,4219	0,0178824	1,86717	18:12:47	30.10.2023
0,294004	0,800213	1,09897	1,02433	0,555334	24,3989	0,0171128	1,86042	18:13:47	30.10.2023
0,296072	0,802645	1,09825	1,02098	0,555367	24,3437	0,016214	1,88602	18:14:47	30.10.2023
0,296313	0,80264	1,09887	1,0239	0,555195	24,4154	0,0174377	1,85681	18:15:47	30.10.2023
0,295175	0,801124	1,09992	1,02141	0,556293	24,3099	0,0169647	1,89296	18:16:47	30.10.2023
0,295092	0,80321	1,09862	1,02069	0,556218	24,3454	0,0174497	1,75332	18:17:47	30.10.2023
0,296113	0,802658	1,09844	1,01838	0,556596	24,3762	0,0167286	1,88759	18:18:47	30.10.2023
0,295223	0,800925	1,1003	1,01864	0,556051	24,3692	0,0174115	1,89324	18:19:47	30.10.2023
0,294828	0,801725	1,09864	1,0167	0,555022	24,4109	0,0171785	1,87984	18:20:47	30.10.2023
0,296627	0,799588	1,09978	1,01389	0,55563	24,3741	0,0176028	1,89304	18:21:47	30.10.2023
0,295713	0,801325	1,09977	1,01255	0,555184	24,3765	0,0167561	2,25589	18:22:47	30.10.2023
0,29641	0,80055	1,09879	1,01414	0,554749	24,3843	0,017259	2,26005	18:23:47	30.10.2023
0,293748	0,800483	1,09813	1,01198	0,55616	24,2987	0,0178246	2,36135	18:24:47	30.10.2023
0,296649	0,800766	1,09955	1,01201	0,554814	24,4121	0,0172558	2,25708	18:25:47	30.10.2023
0,294467	0,799657	1,09704	1,00871	0,555828	24,3341	0,0172301	2,2725	18:26:47	30.10.2023
0,294516	0,800873	1,10019	1,00951	0,555498	24,3436	0,0174517	2,23412	18:27:47	30.10.2023
0,294095	0,801871	1,09757	1,0061	0,556468	24,3032	0,0171742	2,25687	18:28:47	30.10.2023
0,295141	0,801244	1,09883	1,00573	0,554877	24,3615	0,0171555	2,26507	18:29:47	30.10.2023
0,297543	0,799051	1,09824	1,00622	0,55523	24,4219	0,0178159	2,3568	18:30:47	30.10.2023
0,296089	0,801713	1,09766	1,00322	0,555899	24,3262	0,0169157	2,26246	18:31:47	30.10.2023
0,296321	0,799952	1,09879	1,00399	0,554885	24,3587	0,017753	2,73018	18:32:47	30.10.2023
0,295729	0,798649	1,09822	1,00164	0,555406	24,3656	0,016863	2,76476	18:33:47	30.10.2023
0,295157	0,799496	1,09759	0,999001	0,55471	24,3704	0,0178195	2,76801	18:34:47	30.10.2023
0,295561	0,798258	1,09971	1,00075	0,555443	24,3567	0,016107	2,76313	18:35:47	30.10.2023
0,293055	0,799425	1,09833	0,999806	0,555432	24,3424	0,0180056	2,75644	18:36:47	30.10.2023
